user_id,signup_date_raw,acquisition_channel,country_raw,device_raw,age,marketing_spend,session_count,visited_site,signed_up,completed_onboarding,onboarding_date_raw,activated_core_feature,activation_date_raw,started_trial,trial_start_date_raw,converted_to_paid,conversion_date_raw,plan_type,active_after_30_days
102181,19-03-2024,Paid Ads,Aus,Mobile Phone,23,0.92,7,Yes,Yes,Yes,"Mar 22, 2024",No,,No,,No,,Pro,
106021,23-11-2025,Paid Ads,United states,Desk top,43,12.91,5,Yes,Yes,Yes,24-11-2025,Yes,26-11-2025,Yes,"Dec 04, 2025",Yes,"Dec 06, 2025",Pro,No
102345,27-07-2025,Referral,U.S.A,,32,0,5,Yes,Yes,No,,No,,No,,No,,Basic,
106968,19-07-2024,Social Media,America,Desk top,38,0,6,Yes,Yes,No,,No,,No,,No,,Pro,
105206,17-09-2025,Email Campaign,Germany,mobile,,,9,Yes,Yes,Yes,09/19/2025,Yes,22-09-2025,Yes,26-09-2025,No,,,
104400,01-10-2024,Direct,us,Mobile,46,0,2,Yes,Yes,Yes,05-10-2024,Yes,07-10-2024,No,,No,,Pro,
104803,,Referral,IND,DESKTOP,25,0,12,Yes,No,No,,No,,No,,No,,Enterprise,
107193,01-10-2024,Email Campaign,australia,,16,1.71,6,Yes,Yes,Yes,10-05-2024,No,,No,,No,,Pro,
100567,,Referral,England,Desktop,,0,2,Yes,No,No,,No,,No,,No,,Pro,
100736,06-10-2025,Paid Ads,England,Desktop,33,13.8,5,Yes,Yes,Yes,08-10-2025,No,,No,,No,,Pro,
100328,09-12-2024,Email Campaign,IND,MOBILE,25,19.28,4,Yes,Yes,No,,No,,No,,No,,Basic,
106783,"Oct 21, 2024",Email Campaign,germany,tablet,19,4.39,6,Yes,Yes,No,,No,,No,,No,,Pro,
106455,14-08-2024,Social Media,United Kingdom,mobile,27,0,6,Yes,Yes,Yes,"Aug 18, 2024",Yes,21-08-2024,No,,No,,Pro,
104184,22-05-2025,Referral,UK,Tablet,20,0,8,Yes,Yes,No,,No,,No,,No,,Pro,
103333,31-08-2025,Paid Ads,U.S.A,MOBILE,25,11.28,6,Yes,Yes,Yes,01-09-2025,No,,No,,No,,Basic,
102043,27-03-2025,Organic Search,DE,Desk top,33,0,5,Yes,Yes,Yes,27-03-2025,Yes,03/29/2025,No,,No,,Pro,
105889,05/26/2025,Paid Ads,DE,Desktop,49,12.2,2,Yes,Yes,Yes,26-05-2025,Yes,"May 30, 2025",Yes,"Jun 01, 2025",No,,Basic,
105443,20-05-2025,Social Media,United states,phone,36,0,4,Yes,Yes,Yes,23-05-2025,No,,No,,No,,Pro,
101508,10/24/2024,Paid Ads,U.S.A,Desktop,38,3.48,3,Yes,Yes,Yes,26-10-2024,Yes,27-10-2024,No,,No,,Basic,
101755,15-12-2025,Organic Search,Germany,desktop,30,0,4,Yes,Yes,No,,No,,No,,No,,Basic,
102380,25-06-2025,Referral,Aus,DESKTOP,16,0,7,Yes,Yes,Yes,26-06-2025,Yes,29-06-2025,Yes,07-07-2025,Yes,16-07-2025,Enterprise,Yes
103444,28-03-2025,Direct,us,Mobile Phone,16,0,6,Yes,Yes,Yes,31-03-2025,Yes,"Mar 31, 2025",Yes,05-04-2025,No,,Enterprise,
106629,11-05-2025,Social Media,United Kingdom,Mobile,33,,8,Yes,Yes,Yes,08-11-2025,No,,No,,No,,Enterprise,
