"user_id";"signup_date";"onboarding_date";"activation_date";"trial_start_date";"conversion_date";"country";"device";"age_clean";"acquisition_channel";"signed_up";"completed_onboarding";"activated_core_feature";"started_trial";"converted_to_paid";"active_after_30_days";"plan_type";"subscription_revenue";"marketing_spend_cleaned"
100000;"2025-05-26";"2025-05-27";"";"";"";"United States";"Desktop";34;"Organic Search";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100001;"2025-06-22";"2025-06-25";"2025-06-25";"2025-06-27";"";"Germany";"Desktop";28;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100002;"2024-02-13";"2024-02-16";"2024-02-21";"2024-02-24";"2024-02-26";"India";"Mobile";28;"Organic Search";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Enterprise";199;0.0
100003;"2025-11-03";"";"";"";"";"United States";"Mobile";25;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;12.68
100004;"";"";"";"";"";"India";"Mobile";30;"Paid Ads";"No";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;10.89
100005;"2025-08-23";"2025-08-25";"";"";"";"United States";"Desktop";41;"Email Campaign";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;2.0
100006;"2025-02-19";"2025-02-19";"2025-02-22";"2025-02-27";"2025-07-03";"United States";"Desktop";20;"Paid Ads";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Basic";29;8.21
100007;"2024-06-23";"";"";"";"";"Germany";"Desktop";34;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;4.16
100008;"2024-12-31";"2025-01-01";"";"";"";"United States";"Mobile";39;"Referral";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100009;"2025-01-06";"";"";"";"";"Canada";"Mobile";26;"Direct";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100010;"2024-09-29";"";"";"";"";"United Kingdom";"Desktop";31;"Organic Search";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100011;"2024-12-28";"2024-12-28";"2024-12-31";"";"";"India";"Mobile";28;"Paid Ads";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100012;"2025-05-14";"";"";"";"";"United Kingdom";"Mobile";23;"Paid Ads";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;5.44
100013;"2025-08-30";"";"";"";"";"Canada";"Mobile";37;"Email Campaign";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;18.02
100014;"2024-04-12";"2024-04-16";"2024-04-21";"2024-04-24";"";"Australia";"Desktop";32;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100015;"2025-06-07";"2025-07-06";"2025-06-07";"2025-06-12";"";"United States";"Desktop";16;"Organic Search";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;0.0
100016;"2024-06-17";"2024-06-18";"2024-06-19";"2024-06-26";"";"United States";"Desktop";46;"Paid Ads";"Yes";"Yes";"Yes";"Yes";"No";"Not Applicable";"Not Converted";0;2.09
100017;"2024-02-17";"2024-02-18";"";"";"";"Germany";"Desktop";34;"Referral";"Yes";"Yes";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
100018;"2025-04-12";"2025-12-08";"2025-12-14";"";"";"India";"Desktop";0;"Referral";"Yes";"Yes";"Yes";"No";"No";"Not Applicable";"Not Converted";0;0.0
100019;"2025-05-06";"";"";"";"";"United Kingdom";"Desktop";42;"Social Media";"Yes";"No";"No";"No";"No";"Not Applicable";"Not Converted";0;0.0
